time,x,y,z,qx,qy,qz,qw,type
24.9,19.9,0.0,0.0,0.0,0.0,0.0,1.0,S
25.0,20.0,0.0,0.0,0.0,0.0,0.0,1.0,S
25.1,20.1,0.0,0.0,0.0,0.0,0.0,1.0,S
25.2,20.2,0.0,0.0,0.0,0.0,0.0,1.0,S
25.3,20.3,0.0,0.0,0.0,0.0,0.0,1.0,S
25.4,20.4,0.0,0.0,0.0,0.0,0.0,1.0,S
25.5,20.5,0.0,0.0,0.0,0.0,0.0,1.0,S
25.6,20.6,0.0,0.0,0.0,0.0,0.0,1.0,S
25.7,20.7,0.0,0.0,0.0,0.0,0.0,1.0,S
25.8,20.8,0.0,0.0,0.0,0.0,0.0,1.0,S
25.9,20.9,0.0,0.0,0.0,0.0,0.0,1.0,S
26.0,21.0,0.0,0.0,0.0,0.0,0.0,1.0,S
26.1,21.1,0.0,0.0,0.0,0.0,0.0,1.0,S
26.2,21.2,0.0,0.0,0.0,0.0,0.0,1.0,S
26.3,21.3,0.0,0.0,0.0,0.0,0.0,1.0,S
26.4,21.4,0.0,0.0,0.0,0.0,0.0,1.0,S
26.5,21.5,0.0,0.0,0.0,0.0,0.0,1.0,S
26.6,21.6,0.0,0.0,0.0,0.0,0.0,1.0,S
26.7,21.7,0.0,0.0,0.0,0.0,0.0,1.0,S
26.8,21.8,0.0,0.0,0.0,0.0,0.0,1.0,S
26.9,21.9,0.0,0.0,0.0,0.0,0.0,1.0,S
27.0,22.0,0.0,0.0,0.0,0.0,0.0,1.0,S
27.1,22.1,0.0,0.0,0.0,0.0,0.0,1.0,S
27.2,22.2,0.0,0.0,0.0,0.0,0.0,1.0,S
27.3,22.3,0.0,0.0,0.0,0.0,0.0,1.0,S
27.4,22.4,0.0,0.0,0.0,0.0,0.0,1.0,S
27.5,22.5,0.0,0.0,0.0,0.0,0.0,1.0,S
27.6,22.6,0.0,0.0,0.0,0.0,0.0,1.0,S
27.7,22.7,0.0,0.0,0.0,0.0,0.0,1.0,S
27.8,22.8,0.0,0.0,0.0,0.0,0.0,1.0,S
27.9,22.9,0.0,0.0,0.0,0.0,0.0,1.0,S
28.0,23.0,0.0,0.0,0.0,0.0,0.0,1.0,S
28.1,23.1,0.0,0.0,0.0,0.0,0.0,1.0,S
28.2,23.2,0.0,0.0,0.0,0.0,0.0,1.0,S
28.3,23.3,0.0,0.0,0.0,0.0,0.0,1.0,S
28.4,23.4,0.0,0.0,0.0,0.0,0.0,1.0,S
28.5,23.5,0.0,0.0,0.0,0.0,0.0,1.0,S
28.6,23.6,0.0,0.0,0.0,0.0,0.0,1.0,S
28.7,23.7,0.0,0.0,0.0,0.0,0.0,1.0,S
28.8,23.8,0.0,0.0,0.0,0.0,0.0,1.0,S
28.9,23.9,0.0,0.0,0.0,0.0,0.0,1.0,S
29.0,24.0,0.0,0.0,0.0,0.0,0.0,1.0,S
29.1,24.1,0.0,0.0,0.0,0.0,0.0,1.0,S
29.2,24.2,0.0,0.0,0.0,0.0,0.0,1.0,S
29.3,24.3,0.0,0.0,0.0,0.0,0.0,1.0,S
29.4,24.4,0.0,0.0,0.0,0.0,0.0,1.0,S
29.5,24.5,0.0,0.0,0.0,0.0,0.0,1.0,S
